Domaine;Produit;Entreprise;Année(s) de stage(s);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue de l'entreprise;Ville de l'entreprise;Code postal de l'entreprise;Tel entreprise;Google Maps;Longitude Latitude;Plus Code;Directeur;;;;;;Rang A et i;Entreprise et Rang A et i;Rang  i;Entreprise et  Rang  i;DeuxMillevingtDeux Nb D apprentis;DeuxMillevingtDeux  Nb D initiaux;DeuxMillevingtEtUn Nb D apprentis;DeuxMillevingtEtUn  Nb D initiaux;DeuxMillevingt Nb D apprentis;DeuxMillevingt  Nb D initiaux;DeuxMilleDixNeuf  Nb D apprentis;DeuxMilleDixNeuf  Nb D initiaux;DeuxMilleDixHuit  Nb D apprentis;DeuxMilleDixHuit  Nb D initiaux;DeuxMilleDixSept  Nb D apprentis;DeuxMilleDixSept  Nb D initiaux;DeuxMilleSeize  Nb D apprentis;DeuxMilleSeize  Nb D initiaux;DeuxMilleQuinze  Nb D apprentis;DeuxMilleQuinze  Nb D initiaux;DeuxMilleQuatorze  Nb D apprentis;DeuxMilleQuatorze  Nb D intiaux;Points A  et  i;Points  i;;;A;B;C;D;E;;;F;G;H;I;J;;
Industries;Eaux à usage industriel;Centre Nucléaire de Production d'Électricite de Cruas-Meysse;"    ; 2021_i=1              ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cruas;07350;04 75 49 30 00;https://www.edf.fr/centrale-nucleaire-cruas-meysse;44.63286846100014, 4.750856656731185;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Industries;Eaux à usage industriel;EDFI CNPE;"    ; 2021_i=1              ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Route de la Digue Level;Gravelines;59820;03 28 68 4640;https://www.gravelines-actioneco.fr/listing/centre-nucleaire-de-production-denergie-cnpe/;51.013031745507654, 2.1390865484267207;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Communauté des communes Vallée des Baux;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23 avenue des Joncades basses;Saint Rémy-de-Provence;13210;04 90 54 54 20;https://vallee-des-baux-alpilles.fr/;43.7939853789978, 4.778008514122005;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Industries;Traitement des eaux industrielles;VALORTEC;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Montée des Pins, chemin départemental 20G,;Rognac;13340;04 42 78 68 06;http://valortec.fr/ et https://ortec-group.com/agences/valortec-rognac/?utm_source=local&utm_medium=organic&utm_campaign=gmb;43.49555522225456, 5.206188152751614;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Industries;Traitement des eaux industrielles;Suez-Water Technologies&Solutions;"  ; 2022_i=1                ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Rue du Docteur Berrehail;Crolles;38920;04 38 92 19 41;https://www.suez.com/fr/carrieres/nos-offres-d-emplois-recrutement;45.265334116121245, 5.885153129513935;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Industries;Traitement des eaux industrielles;ORTEC industries;"                  ; 2014_i=1";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145 Route du guigonnet;Fos-sur-Mer;13270;04 42 05 03 00;https://www.linkedin.com/company/ortec-group/;43.44861356348608, 4.931977243326394;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;
Réseaux d'eaux usées;Collecte des eaux usées et problèmes des Eaux Claires Parasites;Suez-Eau;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zone d'activité de Trigance,81 Chemin de Capeaux;Istres;13800;09 77 40 94 31;https://www.linkedin.com/company/suez/;43.54772349133198, 4.939282531685332;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Mairie de Sisteron _STEP 13 000EH;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Place de la République;Sisteron;04200;04 92 61 00 37;https://www.sisteron.com/;44.19465382548717, 5.942853299053676;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Suez Eau _STEP Cavaillon 22 500EH;"            ; 2017_i=1      ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162 avenue de Provence;Cavaillon;84300;;https://www.linkedin.com/company/suez/;43.83113423190147, 5.036477029494515;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SIVOM du littoral des Maures_STEP Cavalaire-sur-Mer 68 000 EH;"          ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;145 chemin des essarts;Cavalaire-sur-Mer;83240;04 94 00 46 20;https://www.sivom-littoraldesmaures.org/;43.19605677368103, 6.547206869965893;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SIVU d'assainissement collectif du haut verdon;"  ; 2022_i=1        ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Maison de pays;Beauvezer;04370;07 87 59 73 43 ou 04 92 83 56 76;https://www.verdontourisme.com/offres/sivu-assainissement-haut-verdon-beauvezer-fr-2987864/;44.14317402131163, 6.59278172018079;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SUEZ;"  ; 2022_i=1                ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;333 Promenade des Anglais;Nice;06000;04 93 21 11 61;https://www.suez.com/fr/carrieres/nos-offres-d-emplois-recrutement;43.6783463300395, 7.229469284657715;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Véolia-Eau_STEP des Orres;"          ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15 Rue des Métiers;Gap;05000;09 69 32 93 28;https://www.veolia.com/fr/carrieres;44.56154628746544, 6.0952934047319545;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
SPANC;Service Public d'Assainissement Non Collectif;Provence Alpes agglomération (Site route de Barles);"        ; 2019_i=1  ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 rue Klein;Digne-les-Bains;04000;04 92 32 42 10 ;https://www.provencealpesagglo.fr/eau-et-assainissement/;44.12241412833348, 6.233621616011329;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SUEZ-STEP Digne;";2022_A=1                 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Route du chaffaut;Digne-les-Bains;04000;;Route du chaffaut;44.055410613180975, 6.16406428231317;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SATESE (Service d'assistance technique aux exploitants de station d'épuration);"    ; 2021_i=1              ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26 avenue du Président Herriot;Valence;26000;04-75-79-82-63;https://www.mon-assainissement.fr/liste_satese.html;44.93558916325646, 4.894518670228891;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Réseaux d'eau potable;Distribution d'eau potable aux abonnés;Régie Eau D'Azur;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69/371 Promenade des Anglais – Le Crystal Palace – CS 53135 ;Nice;06203;04 89 98 14 87;https://eaudazur.com/mentions-legales/;43.670969927718154, 7.22295871438849;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Réseaux d'eau potable;Distribution d'eau potable aux abonnés;Régie des Eaux Mairie de Puget Ville;"  ; 2022_i=1      ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;368 Rue de la libération;Puget-Ville;83390;04 94 13 82 00;https://www.puget-ville.fr/services/eau-et-assainissement/service-des-eaux/joomlannuaire/fiche/9-service-des-eaux;43.28928353682564, 6.1358425740058635;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eau potable;Usine d'eau potable;Canal de provence( Centre d'explotation);";2022_A=1                 ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3500 Route du Gros Cerveau;Ollioulles;83190;09 69 39 09 00;https://canaldeprovence.com/;43.152712437982736, 5.840663030682622;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eau potable;Usine d'eau potable;Société des Eaux de Marseille Métropole;"            ; 2017_i=1      ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chemin des grands bassins;La Ciotat;13600;;https://www.eaudemarseille-metropole.fr/;43.19970715132074, 5.590603051458919;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Bureau d'études;Réalisation d'usines de dépollution et réseaux d'eaux usées, eaux pluviales et eau potable;Chleaué SICIC;"  ; 2022_i=1  ; 2021_i=1              ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15 allée des Genêts;Sisteron;04200;09 53 40 22 98;https://www.chleaue.org/;44.23189552451525, 5.9122739;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bureau d'études;Réalisation d'usines de dépollution et réseaux d'eaux usées, eaux pluviales et eau potable;ENVEO ingénierie;"        ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;931 Boulevard de Lavaux;La Ciotat;13600;04 42 98 81 10;http://www.enveo.fr/;43.19764776898865, 5.626948918180797;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Réseaux d'eau potable;Distribution d'eau potable aux abonnés;Dracénie Provence Verdon Agglomération;"    ; 2021_i=1              ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7 rue des Endronnes, Square Mozart;Draguignan;83300;04 94 50 16 20;https://www.dracenie.com/fr;43.53787172818715, 6.4651867316850105;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SIVU d'assainissement (STEP Taradeau-Vidauban-les-arcs);"          ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;880 Chemin de l'île;Taradeau;83460;04 94 85 21 72;https://dracenie.com/fr;43.44349228081907, 6.439110400892034;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Suez-Eau _STEP Digne-les Bains 35 000EH;"            ; 2017_i=1      ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6 chemin des relargulers;Gréoux-les-Bains;04800;09 77 40 94 31;https://www.linkedin.com/company/suez/;43.75409619520056, 5.878849862095513;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Compagnie d'exploitation et de Comptage _STEP La Pioline 165 000 EH;"            ; 2017_i=1      ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;295 Chemin de la Pioline;Aix-en-Provence-Les Milles;13290;04 42 39 12 00;;43.50875905814158, 5.410206826863742;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Suez-Eau_STEP Aubignan et Malaucène;"            ; 2017_i=1      ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270 Rue Pierre Duhem;Aix-en-Provence;13250;04 42 39 32 32;https://www.linkedin.com/company/suez/;43.47968892038086, 5.375468542953324;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Compagnie des Eaux et de L'ozone- Veolia-Eau_ STEP Amphora 100 000EH;"                ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pont La Clue;La Garde;830130;04 94 08 67 31;https://www.veolia.com/fr/carrieres;43.111263909165245, 6.000289142948444;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Veolia -Eau;"          ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570 Chem. de Courtine,; Avignon;84000;;https://www.veolia.com/fr/carrieres;43.93941083929769, 4.788306901731746;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SITTEU ( Syndicat Intercommunal);"                ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1237 avenue Avignon;Sorgues;84700;04 90 39 46 54 ;http://www.sitteu.fr/;43.99809957199414, 4.867404997235186;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Suez-Eau _STEP Aix Ouest 30 000 EH;"          ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chemin du petit Moulin;Aix-en Provence;13209;;https://www.linkedin.com/company/suez/;43.50602277824719, 5.3359992607283875;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Eau potable;Usine eau potable;Suez -Eau _site de Carpentras;"      ; 2020_i=1            ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1295 Av John F. Kennedy;Carpentras;84200;09 77 40 84 08;https://www.linkedin.com/company/suez/;44.03985062814576, 5.032510532784664;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SAUR-Vaucluse;"      ; 2020_i=1          ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24 bis route de Bollène;Sainte Cécile-les-Vignes;84290;04 83 06 70 02;https://www.linkedin.com/company/saur/;44.247283300910894, 4.883624125774024;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Industries;Réseau d'eau pluviale ;CEA Cadarache;"          ; 2018_i=1        ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Saint- Paul- lez- Durance;13108;04 42 25 70 00;https://cadarache.cea.fr/cad;43.68986873659511, 5.760941369811004;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux de loisirs;Eaux récréatives;Regie des thermes ;"          ; 2018_i=1      ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29 Av des Thermes;Digne-les-Bains;04000;04 92 32 58 50;https://www.thermesdignelesbains.com/;44.079546955175246, 6.263891341113401;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Société des Eaux de Marseille;"                ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55 boulevard des Aciéries;Marseille;13010;04 91 57 62 39 ;https://www.eauxdemarseille.fr/;43.276582057845204, 5.404115856444406;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SIA-Cogolin-Gassin;"                ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29 Av Georges Clémenceau;Cogolin;83310;04 94 54 68 08;http://www.sidecm.fr/plan_acces.aspx;43.251469139054294, 6.535749642950303;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Eau potable;Usine d'eau potable;SAUR-Vaucluse;"      ; 2020_i=1            ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24 bis route de Bollène;Sainte Cécile-les-Vignes;84290;04 83 06 70 02;https://www.linkedin.com/company/saur/;44.247283300910894, 4.883624125774024;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SAUR-Vaucluse;"                ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57 route du lac;Valréas;84600;06 87 05 88 54;https://www.linkedin.com/company/saur/;44.39141980369922, 4.996810446053387;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Eau potable;Fournisseur d'équipements industriels;BWT/CILLIT Mediterranée;"                ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;103 impase Evariste Galois;Rousset;13790;04 42 66 75 80;https://www.bwt.com/fr-fr/;43.4804496266345, 5.6027744341004215;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de depolution des eaux usées domestiques;DLVA( Durance Luberon Verdon Agglomération) STEP de Villeneuve;"      ; 2020_i=1  ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Place de l'hotel de ville;Manosque;04100;04 94 86 48 44;https://www.dlva.fr/;43.83384344306562, 5.78262005829959;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Réseaux d'eau potable;Distribution d'eau potable aux abonnés;DLVA(Durance Luberon Verdon Agglomération);"      ; 2020_i=2            ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Place de l'hotel de ville;Manosque;04100;04 94 86 48 44;https://www.dlva.fr/;43.83384344306562, 5.78262005829959;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Réseaux d'eaux usées;Collecte des eaux usées et problèmes des Eaux Claires Parasites;DLVA( Durance Luberon Verdon Agglomération);"  ; 2022_i=1    ; 2020_i=1            ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Place de l'hotel de ville;Manosque;04100;04 94 86 48 44;https://www.dlva.fr/;43.83384344306562, 5.78262005829959;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPANC;Service public d'assainissement non collectif;DLVA( Durance Luberon Verdon Agglomération) ;"                ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Place de l'hotel de ville;Manosque;04100;04 94 86 48 44;https://www.dlva.fr/;43.83384344306562, 5.78262005829959;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Suez eau- Carpentras;"              ; 2016_i=1  ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1295 Av John F. Kennedy;Carpentras;84200;09 77 40 84 08;https://www.linkedin.com/company/suez/;44.03985062814576, 5.032510532784664;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;SAUR-Agence Provence Alpes à Manosque;"  ; 2022_i=1      ; 2019_i=1          ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Zone Saint-Marurice;Manosque;04100;;https://www.linkedin.com/company/saur/;43.797834702798276, 5.815429763418858;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPANC;Service public d'assainissement non collectif;Provence Alpes agglomération ( site de Digne-les Bains);"  ; 2022_i=1                ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Quartier les Isnards-Route de Barles;Digne-les-Bains;04000;;https://www.provencealpesagglo.fr/service-public-dassainissement-non-collectif-spanc/;44.12276221487113, 6.233537854635984;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Provence Alpes agglomération (Site de Château Arnoux-Saint Auban);"        ; 2019_i=1      ; 2016_i=1    ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4 rue Klein;Digne-les-Bains;04000;04 92 32 42 10 ;https://www.provencealpesagglo.fr/eau-et-assainissement/;44.07594179926847, 5.996428966391968;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Suez eau- STEP La Paoute Grasse;"      ; 2020_i=1      ; 2017_i=1  ; 2016_i=1  ; 2015_i=1  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;190 route de Cannes;Grasse;06130;04 92 42 09 09;https://www.linkedin.com/company/suez/;43.63342328224829, 6.951349964869711;;;;;;;;;;;;;;;;;1;;;;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;
Eaux usées;Usine de dépollution des eaux usées domestiques;Suez eau  STEP de Crest;"    ; 2021_i=1              ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chemin des gardes;Montélimar;26200;09 77 40 84 08 ;https://www.linkedin.com/company/suez/;44.54571698431234, 4.724929292545911;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
